,comparison,correlation,p_val
109,AA 10 vs MK 6,-0.4489871527142546,3.6288555044598016e-30
110,AA 10 vs MK 7,0.003378422897607024,0.9425191145954288
111,AA 10 vs MK 8,-0.38463108195437984,3.651107091510124e-15
112,AA 10 vs MK 9,0.6824568514556509,7.839945456821491e-130
113,AA 10 vs MK 10,0.3405790901498972,2.6338994875862884e-19
114,AA 11 vs MK 1,0.6978021978021978,0.008000717411226549
115,AA 11 vs MK 2,-0.057600263312924865,0.03806711229952497
116,AA 11 vs MK 3,0.21629998375375906,4.236369551723439e-06
117,AA 11 vs MK 4,-0.5806801756933682,6.927375758571438e-95
118,AA 11 vs MK 5,0.06603887978280161,0.00579964186298574
119,AA 11 vs MK 6,-0.4489871527142546,3.6288555044598016e-30
120,AA 11 vs MK 7,0.003378422897607024,0.9425191145954288
121,AA 11 vs MK 8,-0.38463108195437984,3.651107091510124e-15
122,AA 11 vs MK 9,0.6824568514556509,7.839945456821491e-130
123,AA 11 vs MK 10,0.3405790901498972,2.6338994875862884e-19
